,feature,importance
0,software_version_4.9.16,8.400192676648922
1,software_version_4.7.7,8.066480546103502
2,software_version_4.10.2,6.642083909015915
3,software_version_4.9.17,5.205088787918224
4,manufacturer_OUTFORM,4.432968868705896
5,model_UIT232B-W01,4.145716834414582
6,sku_P-WAL-105-OUT-01,4.145716834414582
7,fs_pct_0.0261_0.0613,4.058003928762978
8,manufacturer_YITOA,3.0946476005187873
9,NOV_avg_video_dispaly,1.743863679535973
10,model_P-WAL-107-ELC-03,1.7251530128257881
11,avg_days,1.6065006678513798
12,fs_pct_0.024_0.0245,1.2754229297993167
13,OCT_avg_video_dispalys,0.9838069796423851
14,fs_pct_0.0249_0.0257,0.955448276787296
15,facility_type_Private Practice,0.8160932544834267
16,ranking_9.0,0.8140847736018775
17,manufacturer_ELC,0.7190698690755367
18,ranking_10.0,0.7166924848370125
19,ranking_7.0,0.7011836953569338
20,jun_avg_timeout_sessions,0.693333812469846
21,ranking_6.0,0.619405799639546
22,ranking_5.0,0.5949561306027311
23,facility_type_Private Group,0.5880407767747169
24,nov_avg_timeout_sessions,0.5497147392475539
25,fs_pct_0.0613_0.0661,0.5244859695833328
26,avg_times,0.4864516184076391
27,ranking_8.0,0.4854139848697118
28,Osteoporosis,0.4634108467071887
29,specialty_PCP,0.423952184417872
30,oct_avg_timeout_sessions,0.4098716442590974
31,aug_avg_timeout_sessions,0.40567948453780267
32,fs_pct_0.0661_0.0672,0.38958724501487824
33,state_Florida,0.3580987664516528
34,avg_campaigns,0.34731194556054124
35,fs_pct_0.0196_0.0239,0.3431792329732581
36,Lung,0.33628935547598116
37,Pertussis,0.3329320518985484
38,AUG_avg_video_dispalys,0.32696792173611494
39,Cushing's Syndrome,0.3050619243788796
40,Colonoscopy,0.303999108669785
41,Depression: Brain Activity,0.3005190772282419
42,Prostate Brachytherapy,0.2999988694836365
43,Hodgkin's Lymphoma,0.29698132500082497
44,fs_pct_0.0245_0.0249,0.29587793620842956
45,Hemorrhoids,0.28799790639607104
46,Head,0.2877179169832761
47,Sebaceous Cyst,0.2836595985860555
48,Myeloma,0.2776691958642697
49,Heart Attack,0.27666894692742483
50,Mole Mapping,0.2635982434888287
51,Prostate Anatomy Tour,0.2591300710525228
52,Coronary Artery Disease,0.2579016968187735
53,Type 2 Diabetes - Glucose Absorption,0.2574668285677634
54,Stye,0.257308904251845
55,Immunotherapy,0.25331965909703114
56,C-Section,0.2510521476231628
57,JUL_avg_video_dispalys,0.2485806771887604
58,Thorax,0.24787065170699035
59,Osteoarthritis,0.24140537970444798
60,Foot,0.24117224673193177
61,Stomach Cross Section,0.22867037135422663
62,Stomach,0.22519854355758295
63,Celiac Disease,0.2197880081483284
64,Blister,0.2196723721043094
65,aug_avg_Crash_sessions,0.21103437143796072
66,Kidney Stone,0.20487617760110943
67,Influenza,0.20472331981506642
68,Gout,0.20468437218206623
69,Sinus,0.20423091534327695
70,Anal Fissure,0.20204932522694172
71,Skin,0.20154970568569353
72,sept_avg_exit_sessions,0.20068716078672338
73,Alzheimer's Disease,0.20065846578508445
74,Kidney Cancer,0.19949882821634501
75,Esophagus,0.19756657057741883
76,Liver Cirrhosis,0.19518186063752582
77,Multiple Sclerosis,0.19501415818961695
78,aug_avg_exit_sessions,0.19318088828862534
79,Urinary System,0.19286121360033576
80,Gallstone Pancreatitis,0.1893854954211812
81,Umbilical Ventral Hernia,0.18703374773455908
82,jul_avg_Crash_sessions,0.18637751709663092
83,Asthmatic Airways,0.1855374772069023
84,Small Cell Lung Cancer,0.18448693162495727
85,Pelvis,0.1839394355480965
86,Basal Cell Carcinoma (Gross),0.18329190540494475
87,Oral Herpes,0.18314365698555254
88,Cervix Anatomy,0.18184223177379935
89,Lyme Disease,0.18070558353623414
90,Diabetic Retinopathy,0.18039771258507495
91,Chemotherapy IV,0.17961706792309484
92,model_P-WAL-106-ELC-01,0.17855548795410373
93,Astigmatism,0.178383917684291
94,External Beam Radiation,0.1766465179319554
95,Kidney Failure,0.17415071754417047
96,Pancreas Anatomy,0.1732798961492097
97,Myelodysplastic Syndrome,0.17154238473235472
98,Ventricular Fibrillation with Conduction System,0.17152081883764222
99,Hypoparathyroidism,0.17116179736718118
100,Hypercholesterolemia,0.16854849341240594
101,Knee,0.16750680784275862
102,Bladder,0.16736428378297047
103,Atrial Fibrillation with Conduction System,0.16671991775780026
104,Spine,0.16574022641447167
105,jul_avg_exit_sessions,0.1643969988790633
106,Leukemia,0.16394173194769662
107,Psoriasis,0.16348867707525674
108,McDonald's Criteria,0.16336655003254957
109,ALS,0.1630125223263665
110,Raynaud's Disease,0.1606928631231854
111,Stinging Insect Allergy,0.1594077660683987
112,Low Testosterone,0.15902960814423484
113,Ovarian Cancer,0.15745604715706715
114,Breast,0.15699332514523034
115,Chronic Lymphocytic Leukemia,0.15443342220897688
116,specialty_Cardiovascular Disease,0.1527707305652619
117,Inner Ear Infection,0.14995060833353477
118,Smokers Lung,0.14687527691557814
119,jun_avg_exit_sessions,0.1457400227122
120,Atelectasis,0.14566332051152764
121,Menopause,0.1453061063316034
122,Whiteboard,0.14400838162323437
123,Epilepsy,0.1424517674799302
124,Liver,0.1415359659305925
125,Sinusitis,0.14116447091405598
126,Thalassemia,0.1407191258369079
127,Pancreatic Cancer,0.1401801490548766
128,Blood Clot in Vein,0.14003360917048147
129,Pregnancy,0.13982088792678127
130,Glaucoma,0.13953640539991657
131,Lymph Node Cross Section,0.1382398944565374
132,Scoliosis,0.137634602840295
133,Liver Cancer,0.13648293848241827
134,sept_avg_Crash_sessions,0.135924513234418
135,GERD,0.13540547165011171
136,jun_avg_Crash_sessions,0.1346852065189
137,Leg,0.13272289329282538
138,Kyphosis,0.1315279770381934
139,Endoscopy,0.13139835822193843
140,Neck,0.13097273004023668
141,Asthma Inhaler,0.12927918006434724
142,Uterus,0.128392616413804
143,Cervical Cancer,0.1271243729423892
144,Stomach Cancer,0.12701652645083086
145,Bronchitis,0.12548056425109072
146,Ringworm: Tinea Pedis,0.1252970424901492
147,Concussion: Transected Neuron,0.12515165035688677
148,Large Intestine Cross Section,0.1249889215499561
