,feature,importance
0,software_version_4.9.16,0.15874310985429457
1,software_version_4.7.7,0.14351126003336326
2,software_version_4.9.17,0.11216383579429061
3,software_version_4.10.2,0.09202242037415234
4,manufacturer_ELC,0.04888874906430922
5,avg_days,0.04302370033224728
6,manufacturer_OUTFORM,0.033636765797180765
7,model_UIT232B-W01,0.029984701957469686
8,OCT_avg_video_dispalys,0.02812386328641258
9,sku_P-WAL-105-OUT-01,0.027725736323897524
10,NOV_avg_video_dispaly,0.02704870578331213
11,SEPT_avg_video_dispalys,0.013007045271472666
12,nov_avg_timeout_sessions,0.011799494325778523
13,model_P-WAL-107-ELC-03,0.011556748136557032
14,SEPT_avg_video_duration,0.011366673892830899
15,oct_avg_timeout_sessions,0.010819529004755229
16,fs_pct_0.0261_0.0613,0.01077431447720669
17,avg_times,0.0102049974690833
18,AUG_avg_video_dispalys,0.009687623030254788
19,manufacturer_YITOA,0.009512342094686276
20,JUL_avg_video_dispalys,0.008915552800700255
21,OCT_avg_video_duration,0.008096131987130339
22,sept_avg_timeout_sessions,0.007482618233007373
23,avg_campaigns,0.007411344631070206
24,fs_pct_0.024_0.0245,0.006774598610602378
25,aug_avg_timeout_sessions,0.0054643498976982546
26,fs_pct_0.0249_0.0257,0.005224782797064611
27,model_P-WAL-106-ELC-01,0.004684431794579701
28,JUNE_avg_video_duration,0.004668425445233568
29,JUNE_avg_video_dispalys,0.004568417572341757
30,fs_pct_0.0257_0.0261,0.0037348550597325705
31,jun_avg_timeout_sessions,0.0036682399624043587
32,jul_avg_timeout_sessions,0.0035250944905351246
33,fs_pct_0.0239_0.024,0.0034818989779183502
34,fs_pct_0.0661_0.0672,0.003445726040863801
35,fs_pct_0.0245_0.0249,0.0021311239546940395
36,fs_pct_0.0196_0.0239,0.0021241974753525767
37,Heart,0.001721171154939589
38,specialty_PCP,0.0016438360683059502
39,Spine,0.0016121168995713348
40,fs_pct_0.0613_0.0661,0.0014471798379991558
41,facility_type_Private Practice,0.001418554370637921
42,Neck,0.0012478344285944908
43,specialty_Cardiovascular Disease,0.0012178807879348133
44,Abdomen,0.0011225448515135318
45,Pelvis,0.001081381153731621
46,ranking_8.0,0.0010089622824259725
47,Pancreatic Bile Duct,0.0009970705551663466
48,ranking_9.0,0.0009736939189190025
49,Back Pain,0.0009482757262385127
50,Stomach,0.0009102329598723397
51,facility_type_Private Group,0.0008859619171715833
52,ranking_10.0,0.0008814118742415322
53,Head,0.0008521890362811568
54,state_Florida,0.0008103902570928015
55,Pancreas Anatomy,0.0008072036448063232
56,Diabetic Foot Complications,0.0008045344808003173
57,state_Texas,0.0007957113101080487
58,Diabetic Nerve Problem,0.0007808859862647028
59,ranking_6.0,0.0007702197130850532
60,Thorax,0.0007657470340537818
61,Osteoarthritis,0.0007590658525160636
62,Thyroid Nodules,0.0007063134908803084
63,ranking_7.0,0.0006996641778624037
64,Shoulder,0.0006712852818200767
65,sept_avg_exit_sessions,0.0006384931846424121
66,Systems,0.0006362852163664862
67,Teeth,0.0006249221690276293
68,Insulin and Glucose,0.0006209715107425069
69,ranking_5.0,0.000620520983572691
70,nov_avg_exit_sessions,0.0006046297088300717
71,Lung,0.0006033231302651928
72,aug_avg_exit_sessions,0.0005838855105642303
73,Vasculature,0.0005805437421802825
74,Asthma Inhaler,0.0005800108693599642
75,oct_avg_exit_sessions,0.0005780392986790967
76,Osteoporosis,0.0005729249453047986
77,Leg,0.0005401111625946592
78,Diabetic Retinopathy,0.0005386193602472592
79,Brain,0.0005370759401015801
80,Colon Polyps,0.0005362940901561608
81,jul_avg_exit_sessions,0.000534826170731589
82,Prostate Anatomy Tour,0.0005288863956748654
83,Knee,0.0005262635462545668
84,GERD,0.0005227886244661088
85,Esophagus,0.0005226650197834985
86,Colonoscopy,0.0005162341665272971
87,Artery Blockage,0.0005136994882858409
88,jun_avg_exit_sessions,0.0005119389219449178
89,Hand,0.00048635410703694
90,Arm,0.0004707238744131277
91,Irritable Bowel Syndrome,0.00046974363874058484
92,Large Intestine Cross Section,0.0004351905300861732
93,Adam Insulin ,0.0004326222551684484
94,Uterus,0.0004156116102206702
95,Liver,0.00041320849593697625
96,Rheumatoid Arthritis,0.00040418998340468104
97,Foot,0.00038459725910277193
98,Endoscopy,0.00038204430948937163
99,Cardiac Catheterization,0.00036810210749692063
100,Atrial Fibrillation with Conduction System,0.00035114410741097623
101,Gout,0.00034649722803004035
102,Diverticulosis,0.0003352815316786921
103,Urinary System,0.0003319573770770292
104,Ankylosing Spondylitis,0.000330672918319065
105,Pregnancy,0.000322516185882641
106,Barrett's Esophagus,0.0003200193264044727
107,IUD Placement,0.00031874559305319065
108,Kidney Stones,0.0003185493686574614
109,Varicose Veins,0.00031768689405299545
110,Colon Cancer,0.0003138192931775111
111,Ear,0.0003130784371489643
112,Gallbladder Anatomy,0.0003080978031810687
113,Mole Mapping,0.00029857375528662236
114,Hiatal Hernia,0.0002941014057925376
115,Mohs Surgery,0.0002923988146773088
116,Low Testosterone,0.00027867821825013
117,Pancreatic Cancer,0.00026750596355620625
118,Hypoglycemia,0.00026546400383209537
