,feature,importance
0,avg_days,0.09127278023193032
1,manufacturer_ELC,0.0731072110309623
2,NOV_avg_video_dispaly,0.066092617430836
3,OCT_avg_video_dispalys,0.05539472329444885
4,manufacturer_OUTFORM,0.05463329897596958
5,model_UIT232B-W01,0.047098794764113654
6,sku_P-WAL-105-OUT-01,0.044890988411445815
7,SEPT_avg_video_dispalys,0.02766970587182658
8,SEPT_avg_video_duration,0.026120282546728525
9,model_P-WAL-107-ELC-03,0.022635292840373297
10,nov_avg_timeout_sessions,0.021921558680163038
11,AUG_avg_video_dispalys,0.021569915966125647
12,oct_avg_timeout_sessions,0.021455051794555136
13,JUL_avg_video_dispalys,0.0201496801127127
14,avg_campaigns,0.019958961248636095
15,OCT_avg_video_duration,0.019073297332709127
16,manufacturer_YITOA,0.018654702281131374
17,avg_times,0.018281158848831705
18,sept_avg_timeout_sessions,0.016756188217112652
19,fs_pct_0.0261_0.0613,0.01664020056539617
20,fs_pct_0.0249_0.0257,0.014349297507796855
21,fs_pct_0.0661_0.0672,0.01381641149671544
22,fs_pct_0.024_0.0245,0.012693747217161608
23,JUNE_avg_video_duration,0.01160761827990035
24,JUNE_avg_video_dispalys,0.011464836301908206
25,aug_avg_timeout_sessions,0.009977827733157415
26,fs_pct_0.0257_0.0261,0.00923808863921463
27,fs_pct_0.0239_0.024,0.008517411243623445
28,model_P-WAL-106-ELC-01,0.008438708012686374
29,jul_avg_timeout_sessions,0.008199618705826719
30,jun_avg_timeout_sessions,0.007699765323763771
31,fs_pct_0.0245_0.0249,0.006541066090032224
32,fs_pct_0.0196_0.0239,0.005778252566696553
33,fs_pct_0.0613_0.0661,0.005060552593715631
34,Heart,0.0044330079885882365
35,Spine,0.003632502643915377
36,Neck,0.003206892638212381
37,facility_type_Private Practice,0.0031958480585116546
38,specialty_PCP,0.0031536262669231117
39,facility_type_Private Group,0.002801182482417559
40,Abdomen,0.0025549711592761887
41,Pancreatic Bile Duct,0.002551906291616532
42,ranking_8.0,0.0025513541552617683
43,specialty_Cardiovascular Disease,0.0024002135400744053
44,ranking_6.0,0.002280972663702689
45,ranking_10.0,0.002228429468531271
46,Pelvis,0.0021931623826716494
47,state_Florida,0.0021616906922131067
48,Diabetic Foot Complications,0.0021225725555652254
49,Pancreas Anatomy,0.002038449345767019
50,Back Pain,0.00198824679737426
51,ranking_9.0,0.001986547919850071
52,Diabetic Nerve Problem,0.0019639410522681038
53,ranking_7.0,0.0019090178900882729
54,Thorax,0.0018627632377765017
55,state_Texas,0.0018516740926877151
56,Insulin and Glucose,0.001782999847707026
57,sept_avg_exit_sessions,0.0017799768875695998
58,Head,0.0017472206637167173
59,oct_avg_exit_sessions,0.0017415748434155935
60,Stomach,0.0017049433353709886
61,Thyroid Nodules,0.0015975597168968207
62,Shoulder,0.0015830183055585262
63,aug_avg_exit_sessions,0.0015440414809380963
64,Teeth,0.0015026238468299703
65,Lung,0.0014467986551250137
66,nov_avg_exit_sessions,0.0014272533009480727
67,Vasculature,0.0014019556086537644
68,jun_avg_exit_sessions,0.001388302706393176
69,Artery Blockage,0.0013776513469406385
70,ranking_5.0,0.001376549395804533
71,jul_avg_exit_sessions,0.0013749872626744276
72,Asthma Inhaler,0.001350252075068872
73,Osteoarthritis,0.0013395195981224176
74,Brain,0.0013392608135281683
75,Colon Polyps,0.0012846664873034897
76,Osteoporosis,0.0012826946307676011
77,Knee,0.0012575120791173523
78,Leg,0.0012429599325067498
79,Diabetic Retinopathy,0.0012381756367459836
80,Colonoscopy,0.0012175737015675497
81,Endoscopy,0.0011985712552561507
82,Large Intestine Cross Section,0.001186533307135822
83,Foot,0.0011597740984709475
84,Cardiac Catheterization,0.001132285759048331
85,Adam Insulin ,0.0011131468754399583
86,Uterus,0.0011035555149800716
87,GERD,0.0010802142961994915
88,Prostate Anatomy Tour,0.0010658020877482904
89,Irritable Bowel Syndrome,0.0010633859044681007
90,Esophagus,0.0010577172874489367
91,Rheumatoid Arthritis,0.0010091809265798258
92,Hand,0.0009754014854121011
93,Atrial Fibrillation with Conduction System,0.0009741399360906544
94,Varicose Veins,0.0009476150921448182
95,Liver,0.0008925924853015008
96,Systems,0.0008131368635784405
97,Gallbladder Anatomy,0.0007899029685907137
98,Arm,0.0007871365497262012
99,Low Testosterone,0.0007555002065178783
100,Ankylosing Spondylitis,0.0007425234052334574
101,Ear,0.000716564286805217
102,Urinary System,0.0007147271542637644
103,Barrett's Esophagus,0.0006942439548565023
104,Gout,0.0006938917207039624
105,Endometriosis,0.000679704397578532
106,Mohs Surgery,0.0006662096015303029
107,IUD Placement,0.0006633921903746989
108,Colon Cancer,0.0006490006760945077
109,Hiatal Hernia,0.0006479181122895175
110,Pregnancy,0.0006428637074501625
111,Stomach Cross Section,0.0006377706488928531
112,Diverticulosis,0.0006131593231873441
113,Torn Rotator Cuff,0.0006107613835974621
114,Strep Throat,0.0006058972691735103
115,Pancreatic Cancer,0.0005949699826648541
116,Eye,0.0005928491832432266
117,Diverticulitis,0.0005688690053725964
118,Gallstone Pancreatitis,0.0005579577569165741
119,Skin,0.0005545835090844612
120,Hypoglycemia,0.0005476787495554355
121,Mole Mapping,0.0005442941200601756
122,Crohn's Disease,0.0005405230536245393
123,ADHD,0.0005371614944405079
124,Kidney,0.0005258904590737258
125,Thyroid Cancer,0.0005201268496750586
126,Kidney Stones,0.0005061587254018233
127,BPH,0.0004982374869652474
128,Angina,0.00048262696514038157
129,Cervix Anatomy,0.0004559068016499299
130,Lymphatic System,0.00045439738337776296
