,feature,importance
0,software_version_4.9.16,8.069342114566535
1,software_version_4.7.7,7.873857498370182
2,software_version_4.10.2,7.225926239542815
3,software_version_4.9.17,6.584428650766652
4,model_UIT232B-W01,5.03953504631602
5,sku_P-WAL-105-OUT-01,5.03953504631602
6,manufacturer_OUTFORM,4.909725087259615
7,fs_pct_0.0261_0.0613,3.8850557377314923
8,manufacturer_YITOA,3.8650723710437513
9,model_P-WAL-107-ELC-03,2.3829881387200396
10,avg_days,1.8959842214631435
11,NOV_avg_video_dispaly,1.4455406827677593
12,OCT_avg_video_dispalys,1.2792769197938278
13,fs_pct_0.0196_0.0239,1.2323294450551425
14,AUG_avg_video_dispalys,0.9501433846701968
15,ranking_9.0,0.7803327234199162
16,fs_pct_0.0257_0.0261,0.7524865588175519
17,fs_pct_0.0613_0.0661,0.7193789069388401
18,avg_times,0.6992035751542885
19,JUNE_avg_video_duration,0.6140833384392195
20,SEPT_avg_video_dispalys,0.5867640867784204
21,fs_pct_0.0239_0.024,0.5384616399930152
22,facility_type_Private Practice,0.5279557069611958
23,fs_pct_0.0661_0.0672,0.4844440026318379
24,ranking_10.0,0.48271606122797134
25,Osteoporosis,0.44195471131716596
26,facility_type_Private Group,0.3809512417046435
27,Kidney Stone,0.3698309670494529
28,jun_avg_timeout_sessions,0.36615643504997564
29,ranking_5.0,0.3657578297676588
30,Leukemia,0.34732075090340736
31,Alzheimer's Disease,0.3323130908381326
32,Depression: Brain Activity,0.3166317495375351
33,specialty_PCP,0.3165681858774133
34,Rectocele,0.3154574371215927
35,Head,0.31525288738140556
36,Colonoscopy,0.30604859911813886
37,Cushing's Syndrome,0.30509978600808446
38,aug_avg_timeout_sessions,0.30027022922963703
39,Lung,0.29843752120901595
40,Hemorrhoids,0.29261277997621243
41,state_Florida,0.28735072344351775
42,Bladder,0.27884430410525407
43,Stye,0.27235084131043114
44,Coronary Artery Disease,0.27009149074595856
45,Hyperparathyroidism,0.26940523409475936
46,oct_avg_timeout_sessions,0.26708854278634697
47,Pertussis,0.2608668286837321
48,Multiple Myeloma,0.25261959828875924
49,Liver Cirrhosis,0.24818729034082523
50,nov_avg_timeout_sessions,0.24367596250095933
51,Immunotherapy,0.23590184385816076
52,Type 2 Diabetes - Glucose Absorption,0.23152039587266648
53,Skin,0.2287151754072023
54,fs_pct_0.0249_0.0257,0.22412415105965514
55,Hodgkin's Lymphoma,0.22045463489687014
56,state_Texas,0.219937283527798
57,Brain,0.21857791315682196
58,Ringworm: Tinea Pedis,0.21615078010449673
59,Parkinsons Disease,0.21610002121697017
60,Cervix Anatomy,0.21594053260895024
61,Prostate Anatomy Tour,0.21277966503398535
62,Urinary System,0.21122833796110296
63,Celiac Disease,0.20856275238405317
64,Kidney Cancer,0.2075637089309194
65,Umbilical Ventral Hernia,0.20175256992440138
66,Aortic Valve Stenosis,0.19992851481995447
67,Myeloma,0.19988611792347055
68,Astigmatism,0.19969139050297
69,aug_avg_Crash_sessions,0.19856980940991825
70,nov_avg_exit_sessions,0.19852010383158494
71,Prostate Brachytherapy,0.19840181863804135
72,Multiple Sclerosis,0.1978221562401912
73,Asthmatic Airways,0.1947958161825103
74,Oral Herpes,0.19173231294888887
75,Hypoparathyroidism,0.19145170223580285
76,Atelectasis,0.1910374502648343
77,Ovarian Cancer,0.1883303829613092
78,Ventricular Fibrillation with Conduction System,0.18732724951298177
79,Basal Cell Carcinoma,0.18648929018849913
80,Atrial Fibrillation with Conduction System,0.18611054036585983
81,MRSA,0.18469114759525573
82,Heart Attack,0.18458456330825831
83,sept_avg_Crash_sessions,0.18090659090942784
84,Thorax,0.17823002069433228
85,Hypercholesterolemia,0.17762728487294177
86,Gallstone Pancreatitis,0.17594394166652766
87,Mohs Surgery,0.1757680146288484
88,Epilepsy,0.17479188600218776
89,Scoliosis,0.17322439077734358
90,ranking_7.0,0.16938798228509916
91,C-Section,0.1688604153171209
92,Leg,0.16712397629756484
93,Lymphatic System,0.16639225306262606
94,ranking_8.0,0.16600301923671754
95,Lymph Node Cross Section,0.16600278348924388
96,Breast,0.16429077453045624
97,Esophagus,0.15838086373721286
98,Irritable Bowel Syndrome,0.15671003561094943
99,Cervical Cancer,0.15583025482313512
100,avg_campaigns,0.15541946708410279
101,Basal Cell Carcinoma (Gross),0.15497022377955882
102,GERD,0.15207023180481774
103,Psoriasis,0.15186560873951982
104,Kidney Failure,0.15122803036426818
105,Tuberculosis,0.1506350820465445
106,Stomach,0.14917579863828984
107,Stinging Insect Allergy,0.14562209976931018
108,OCT_avg_video_duration,0.1445772199568754
109,Thalassemia,0.13891355296011526
110,Urinary Tract Infection,0.13748230367326825
111,Raynaud's Disease,0.13492870897010295
112,Critical Limb Ischemia,0.13198489657895326
113,Fusiform Aneurysm,0.13022972277720177
114,Spine,0.12877396741397742
115,Lewy Body Dementia,0.12846866255863296
116,Reproductive,0.1281224360564479
117,jun_avg_exit_sessions,0.12807784316555473
118,Liver,0.12779804643325918
119,Mole Mapping,0.1274074270619942
120,Lymphedema,0.12468694600820102
121,Esophageal Cancer,0.12451800169060233
122,Glaucoma,0.12445862271162761
123,Lyme Disease,0.12348073527115769
124,Peripheral Anemia,0.12309411150818377
125,Comminuted Fracture,0.12238406144683914
126,Testicular Cancer,0.12168488269405132
127,Peripheral Artery Disease,0.12054455624774137
128,manufacturer_ELC,0.11982444100098963
129,jul_avg_Crash_sessions,0.11982390033392412
130,Pancreas Anatomy,0.11738555377707155
131,Pneumonia,0.11714352705328751
132,Varicose Veins,0.11599829833651508
133,Aortic Dissection,0.11451630450209746
134,Rosacea,0.11355913450037088
135,Squamous Cell Cancer Of The Head And Neck,0.1118201376800282
136,model_P-WAL-106-ELC-01,0.11128402883351762
137,Blister,0.11115811206722334
138,Myelodysplastic Syndrome,0.11067839104497543
139,sept_avg_exit_sessions,0.10987758427443944
140,Eczema,0.1069921869802379
141,Inner Ear Infection,0.10639953411856451
142,Adam Insulin ,0.10598556751495694
143,Stomach Cross Section,0.10572590423972401
144,Influenza,0.10559066198662219
145,ALS,0.1050135654122915
146,ADHD,0.10339287873432483
147,Abdomen,0.1033870042902644
148,Knee,0.10268024470951262
149,Thyroid Nodules,0.10218456835393132
150,Stomach Cancer,0.10204967610230764
151,Bronchitis,0.10195797301850223
152,Dialysis Vascular Access,0.10173469621070363
153,Shingles,0.10030095583923686
154,Chronic Lymphocytic Leukemia,0.10014222095218268
155,Lymph Nodes around Uterus,0.09933565997407928
156,Tracheoesophageal Fistula,0.09895932221943933
157,jun_avg_Crash_sessions,0.09809954654423668
158,fs_pct_0.0245_0.0249,0.09781202509451148
159,Inguinal Hernia: Indirect,0.09744093618189954
160,Asthmatic Airway,0.09698544857278375
161,Cystic Fibrosis,0.09635168759801283
162,Menopause,0.09469330234482971
163,Back Pain,0.09316812620521452
164,Anal Fissure,0.09315827853489474
165,PCOS,0.092063494971123
166,Dry Macular Degeneration,0.09131102961116436
167,Gout,0.0912233912673442
168,Hepatitis C,0.09089051285067204
169,HIV Life Cycle,0.09083775932285751
170,Diabetic Retinopathy,0.08983273953136386
171,Sickle Cell Anemia,0.08976842995515291
172,Melanoma: Tissue,0.08970394234413528
173,sept_avg_timeout_sessions,0.08908142535988696
174,Uterus,0.08908068300832238
175,Torn ACL,0.08864091420525005
176,Chemotherapy IV,0.08840347439114177
177,jul_avg_timeout_sessions,0.08762409680588472
178,Atherosclerosis,0.08725527892485138
179,Cervical Burst Fracture,0.08683580744908385
180,Pancreatic Cancer,0.08660440147082035
181,ranking_6.0,0.08637668603276503
182,Saccular Aneurysm,0.08570106609962024
183,Torn Rotator Cuff,0.0854601763272439
184,Gastrointestinal Cancers,0.08146053417694314
185,Colon Polyps,0.08072794006152068
186,Dry Eye,0.08022335318181271
187,Aplastic Anemia,0.07988758588378615
188,Gastric Outlet Obstruction,0.07874026128653615
189,specialty_Cardiovascular Disease,0.0780926140950875
190,Shoulder,0.07764287672016454
191,External Beam Radiation,0.0766578045530612
192,Low Testosterone,0.07404891159438869
193,ABCDE Moles,0.07403852180245792
194,Food Allergy,0.07387440943259553
195,Artery Blockage,0.07350143519171377
196,Kyphosis,0.07346048392102932
197,Pancreatic Bile Duct,0.07345637772901972
198,Foot,0.07340667466015606
199,Carpal Tunnel Syndrome,0.07279168787119497
200,Stroke,0.07276986742277573
201,Urinary Incontinence,0.07257549768230474
202,Haglund's Deformity,0.07066943487389132
203,Prostate Cancer,0.0696530713406568
204,HIV/AIDS,0.06728105267222448
205,Melanoma,0.06720545505933885
206,Diverticulitis,0.06685041993571351
207,Wrist,0.06638861001926043
208,Endometriosis,0.0654332617231265
209,High Blood Pressure,0.06498188853267713
210,McDonald's Criteria,0.0636726573538897
211,Allergic Rhinitis,0.06309677922884088
212,Pericardial Disease,0.06223612053269976
213,Pelvis,0.06151662328708923
214,Arm,0.06121808993933165
215,Vasculature,0.059853537331832435
216,Smokers Lung,0.05856402055964017
217,Pulmonary Hypertension,0.058421878991523235
218,Leukopenia,0.05684919407393167
219,Deep Vein Thrombosis,0.056661883123830255
220,Mammography,0.054032498485926936
221,Heart,0.05400206646482135
222,Chronic Myeloid Leukemia,0.0529005176585031
223,Appendicitis,0.0509005720530967
224,Endometrial Cancer,0.05089600290046708
225,Ulcerative Colitis,0.04936359225901298
226,Thyroid Cancer,0.04793066569106852
227,Kidney,0.047724083813182855
228,Concussion: Transected Neuron,0.04704585142415639
229,Outer Ear Infection,0.046748283976742314
230,Rheumatoid Arthritis,0.04650703948462937
231,IUD Placement,0.04647867507295637
232,Elbow,0.046092921720276334
233,Myocardial Infarction,0.04569850152626617
234,Pulmonary Edema,0.04552371335877047
235,Pharyngitis,0.045248831295240044
236,Asthma Inhaler,0.04518476844247524
237,Myocardial Ischemia,0.044416796314275794
238,Non Hodgkins Lymphoma,0.04309976377254975
239,Wagner Classification,0.04272751801305358
240,Mitral Valve Regurgitation,0.042713490294971276
241,Reproductive System,0.04246425291661653
242,Blood Clot in Vein,0.042339237337763284
243,Sinusitis,0.040838499782890114
244,Diabetic Foot Complications,0.039817723663584194
245,nov_avg_Crash_sessions,0.03900400140791368
246,Strep Throat,0.03895980445436731
247,Eye,0.038930659719517466
248,Acne Detailed,0.038540345768478305
249,Diabetes Type 1 Insulin Release,0.03809933312623992
250,jul_avg_exit_sessions,0.03803419533486782
251,Torn Medial Meniscus,0.038021255412004115
252,Kidney Stones,0.037815749256451384
253,Sebaceous Cyst,0.03705087887073734
