,feature,importance
0,software_version_4.9.16,0.6689295931067146
1,software_version_4.9.17,0.10495926765063854
2,software_version_4.10.2,0.07151312340541408
3,software_version_4.7.7,0.06324775428965856
4,manufacturer_OUTFORM,0.02203061905184106
5,avg_days,0.011723164363831152
6,fs_pct_0.0261_0.0613,0.009501219065996692
7,sku_P-WAL-105-OUT-01,0.00939987662460525
8,nov_avg_timeout_sessions,0.003643958218042768
9,manufacturer_YITOA,0.0034586971996124144
10,JUL_avg_video_dispalys,0.0034121454994416106
11,sku_P-WAL-107-ELC-03,0.003408878608875371
12,manufacturer_ELC,0.0031456792685011664
13,NOV_avg_video_dispaly,0.0026515874166270752
14,fs_pct_0.024_0.0245,0.002638007266404523
15,jun_avg_timeout_sessions,0.0023130755200977443
16,OCT_avg_video_duration,0.002078203400006276
17,avg_times,0.002038333678166056
18,OCT_avg_video_dispalys,0.0017291652534180315
19,fs_pct_0.0245_0.0249,0.001328736862519284
20,jul_avg_exit_sessions,0.001017837849452609
21,AUG_avg_video_dispalys,0.0007322980516943252
22,JUNE_avg_video_dispalys,0.0007247890163825046
23,SEPT_avg_video_duration,0.0007088570596185102
24,ranking_8.0,0.000693911574415584
25,Prostate Brachytherapy,0.000578561735456297
26,avg_campaigns,0.0005141833223993486
27,jul_avg_timeout_sessions,0.00044092013784298434
28,fs_pct_0.0196_0.0239,0.00029768675752311067
29,aug_avg_timeout_sessions,0.00029415886652870224
30,Head,0.0001421680011061213
31,model_UIT232B-W01,0.00013948525671273086
32,specialty_Cardiovascular Disease,0.0001158590532929829
33,Large Intestine Cross Section,0.00011472416851936331
34,Vasculature,9.285656500546455e-05
35,Heart,9.267534592759262e-05
36,Gout,7.659148029972329e-05
37,Hiatal Hernia,3.77105404087253e-05
38,sept_avg_timeout_sessions,2.1366739295693435e-05
39,fs_pct_0.0249_0.0257,1.2272727705477412e-05
40,model_P-WAL-106-ELC-01,0.0
41,model_P-WAL-107-ELC-03,0.0
42,sku_P-WAL-106-ELC-01,0.0
43,state_Florida,0.0
44,state_Texas,0.0
45,facility_type_Private Group,0.0
46,facility_type_Private Practice,0.0
47,ranking_5.0,0.0
48,ranking_6.0,0.0
49,ranking_7.0,0.0
50,ranking_9.0,0.0
51,ranking_10.0,0.0
52,specialty_PCP,0.0
53,fs_pct_0.0239_0.024,0.0
54,fs_pct_0.0257_0.0261,0.0
55,fs_pct_0.0613_0.0661,0.0
56,fs_pct_0.0661_0.0672,0.0
57,SEPT_avg_video_dispalys,0.0
58,JUNE_avg_video_duration,0.0
59,jun_avg_Crash_sessions,0.0
60,jun_avg_exit_sessions,0.0
61,jul_avg_Crash_sessions,0.0
62,aug_avg_Crash_sessions,0.0
63,aug_avg_exit_sessions,0.0
64,sept_avg_Crash_sessions,0.0
65,sept_avg_exit_sessions,0.0
66,oct_avg_timeout_sessions,0.0
67,oct_avg_Crash_sessions,0.0
68,oct_avg_exit_sessions,0.0
69,nov_avg_Crash_sessions,0.0
70,nov_avg_exit_sessions,0.0
71,ABCDE Moles,0.0
72,ADHD,0.0
73,ALS,0.0
74,Abdomen,0.0
75,Acid Reflux,0.0
76,Acne,0.0
77,Acne Detailed,0.0
78,Acute Bronchitis,0.0
79,Adam Insulin ,0.0
80,Advanced Atherosclerosis,0.0
81,Allergic Rhinitis,0.0
82,Alzheimer's Disease,0.0
83,Anal Fissure,0.0
84,Angina,0.0
85,Ankylosing Spondylitis,0.0
86,Aortic Dissection,0.0
87,Aortic Valve Stenosis,0.0
88,Aplastic Anemia,0.0
89,Appendicitis,0.0
90,Arm,0.0
91,Artery Blockage,0.0
92,Asthma Inhaler,0.0
93,Asthmatic Airway,0.0
94,Asthmatic Airways,0.0
95,Astigmatism,0.0
96,Atelectasis,0.0
97,Atherosclerosis,0.0
98,Atrial Fibrillation,0.0
