,feature,importance
0,software_version_4.9.16,9.130029718145623
1,software_version_4.7.7,9.079641617807845
2,software_version_4.10.2,7.108243315094416
3,software_version_4.9.17,6.215745409108323
4,manufacturer_OUTFORM,3.587168675933091
5,model_UIT232B-W01,3.3449753421473027
6,sku_P-WAL-105-OUT-01,3.3449753421473027
7,fs_pct_0.0261_0.0613,2.344998437996489
8,manufacturer_YITOA,2.33934785283394
9,avg_days,2.2768236303391727
10,NOV_avg_video_dispaly,1.7400551799688593
11,fs_pct_0.024_0.0245,1.2324892767009623
12,fs_pct_0.0249_0.0257,1.1687312997332422
13,manufacturer_ELC,1.1446521947869128
14,model_P-WAL-107-ELC-03,0.9379847199979893
15,sku_P-WAL-107-ELC-03,0.9379847199979893
16,nov_avg_timeout_sessions,0.8050700534588142
17,avg_times,0.7890992046706534
18,fs_pct_0.0661_0.0672,0.7605324641102039
19,facility_type_Private Practice,0.7246233408101022
20,ranking_10.0,0.6531208598860487
21,facility_type_Private Group,0.6208404099105389
22,jun_avg_timeout_sessions,0.6175850777182939
23,ranking_6.0,0.5858022160866936
24,fs_pct_0.0239_0.024,0.5677762850588793
25,fs_pct_0.0257_0.0261,0.551726799461059
26,fs_pct_0.0245_0.0249,0.5496142993143556
27,model_P-WAL-106-ELC-01,0.5412241045726636
28,sku_P-WAL-106-ELC-01,0.5412241045726636
29,Osteoporosis,0.43973422802431994
30,oct_avg_timeout_sessions,0.41375772423245893
31,ranking_9.0,0.3947136430365978
32,ranking_7.0,0.3907370461910401
33,JUL_avg_video_dispalys,0.3771846777073292
34,fs_pct_0.0196_0.0239,0.366432514924796
35,Prostate Anatomy Tour,0.35688793724517315
36,JUNE_avg_video_dispalys,0.3530557587543049
37,Hodgkin's Lymphoma,0.33862428328517674
38,specialty_Cardiovascular Disease,0.327913013817875
39,Pertussis,0.3203084052184662
40,aug_avg_Crash_sessions,0.31506588736862867
41,Lung,0.3052482246479659
42,Depression: Brain Activity,0.30216763078703984
43,aug_avg_timeout_sessions,0.29478086307121837
