,feature,importance
0,software_version_4.9.16,0.15370161855125852
1,software_version_4.7.7,0.1312724950778669
2,software_version_4.9.17,0.12229329718030425
3,software_version_4.10.2,0.10083343112297581
4,avg_days,0.042075120237806234
5,manufacturer_OUTFORM,0.04000239952640463
6,manufacturer_ELC,0.035960485741321324
7,model_UIT232B-W01,0.03172678991270223
8,NOV_avg_video_dispaly,0.030657067466966982
9,sku_P-WAL-105-OUT-01,0.028040342450961393
10,OCT_avg_video_dispalys,0.025490889084335357
11,SEPT_avg_video_duration,0.012026206600711499
12,model_P-WAL-107-ELC-03,0.011272444667286127
13,nov_avg_timeout_sessions,0.010762419516441893
14,sku_P-WAL-107-ELC-03,0.010181586566543414
15,SEPT_avg_video_dispalys,0.00989454139582638
16,AUG_avg_video_dispalys,0.009583841002348187
17,avg_times,0.009338694607291599
18,JUL_avg_video_dispalys,0.008994154773184803
19,sept_avg_timeout_sessions,0.008428995868085435
20,oct_avg_timeout_sessions,0.008169699986875953
21,OCT_avg_video_duration,0.007836604452324173
22,manufacturer_YITOA,0.00776742959033126
23,avg_campaigns,0.007738033796011863
24,fs_pct_0.0261_0.0613,0.007730310857617708
25,fs_pct_0.0249_0.0257,0.006991682594568019
26,fs_pct_0.024_0.0245,0.0055523278170409715
27,model_P-WAL-106-ELC-01,0.004816983672088974
28,JUNE_avg_video_dispalys,0.004706908080104207
29,aug_avg_timeout_sessions,0.004681494164481724
30,JUNE_avg_video_duration,0.004573091784879932
31,sku_P-WAL-106-ELC-01,0.004258599735895059
32,jul_avg_timeout_sessions,0.0038989457022668536
33,jun_avg_timeout_sessions,0.003655781199283804
34,fs_pct_0.0257_0.0261,0.0035179445837312264
35,fs_pct_0.0661_0.0672,0.003406135129539884
36,fs_pct_0.0239_0.024,0.0033425770557967264
37,fs_pct_0.0245_0.0249,0.002652911187526678
38,fs_pct_0.0196_0.0239,0.0019978697555878572
39,Heart,0.0016987385719179214
40,Spine,0.001657793664844336
41,specialty_PCP,0.0016115446080529063
42,fs_pct_0.0613_0.0661,0.00155773395436382
43,facility_type_Private Practice,0.0014362067371128024
44,Neck,0.0011834854254113554
45,specialty_Cardiovascular Disease,0.0011771831464461753
46,Abdomen,0.00106522056192561
47,ranking_8.0,0.001044648406112242
48,Pelvis,0.0009736150808553184
49,facility_type_Private Group,0.0009530548825966623
50,ranking_9.0,0.0009505045473223498
51,Pancreatic Bile Duct,0.0009360293248961191
52,ranking_10.0,0.0008742265610073679
53,Diabetic Nerve Problem,0.0008731028864402209
54,Head,0.0008598934516120059
55,Thorax,0.000825763982406637
56,Back Pain,0.0008049821980130903
57,ranking_7.0,0.0007959791899753291
58,state_Florida,0.0007835025899138856
59,Diabetic Foot Complications,0.0007809071271811898
60,state_Texas,0.0007798333165806202
61,Pancreas Anatomy,0.0007535916242524131
62,Stomach,0.000750779592087768
63,ranking_6.0,0.0007151429807530415
64,nov_avg_exit_sessions,0.0006793568489013517
65,Thyroid Nodules,0.0006682150078511167
66,Shoulder,0.0006522330778296194
67,sept_avg_exit_sessions,0.0006502686788372393
68,Osteoarthritis,0.0006328651227128071
69,aug_avg_exit_sessions,0.0006313191863486427
70,oct_avg_exit_sessions,0.0006070856568484571
71,ranking_5.0,0.0006051714958031213
72,Insulin and Glucose,0.000600899773315465
73,Prostate Anatomy Tour,0.0005987477491746131
74,Teeth,0.0005940183074460842
75,Diabetic Retinopathy,0.0005761532212246682
76,Vasculature,0.0005611708355630323
77,jul_avg_exit_sessions,0.0005544316432849742
78,Systems,0.000551733150705495
79,Lung,0.0005497658434595833
80,Brain,0.0005454871365382052
81,Uterus,0.0005426643418357678
82,GERD,0.0005351463343773608
83,Asthma Inhaler,0.0005325103177657132
84,Osteoporosis,0.0005321706437436746
85,jun_avg_exit_sessions,0.0005320783238308295
86,Artery Blockage,0.0005211381233439679
87,Colon Polyps,0.0005114698291779927
88,Knee,0.0005029496186492738
89,Large Intestine Cross Section,0.0004885760499931273
90,Esophagus,0.00048066682320904003
91,Colonoscopy,0.00044874979988684136
92,Endoscopy,0.0004457520179519264
93,Leg,0.0004433137502143653
94,Hand,0.0004429370210890568
95,Liver,0.0004378005615933611
96,Adam Insulin ,0.0004358898489524162
97,Pregnancy,0.0004260232945000789
98,Arm,0.00042077139330708304
99,Irritable Bowel Syndrome,0.0004029671826779843
100,Cardiac Catheterization,0.0003975401569645431
101,Atrial Fibrillation with Conduction System,0.0003963030699728786
102,Gout,0.00039027897172107983
103,Rheumatoid Arthritis,0.0003662493528722607
104,Gallbladder Anatomy,0.000359944085447364
105,Foot,0.00034539838164919203
106,Varicose Veins,0.00032363772139565745
107,Kidney,0.00030253475060893663
108,Diverticulitis,0.0003016157882971401
