,feature,importance
0,software_version_4.9.16,0.6600243422476816
1,software_version_4.9.17,0.10253777687926204
2,clinic_had_mia,0.07525414210577261
3,software_version_4.10.2,0.06034001556575154
4,software_version_4.7.7,0.03702838742099141
5,manufacturer_OUTFORM,0.02239496658860322
6,avg_days,0.01201538778339205
7,sku_P-WAL-105-OUT-01,0.00941236733441253
8,fs_pct_0.0261_0.0613,0.004938817264461838
9,manufacturer_YITOA,0.0026093184731169213
10,avg_times,0.0023745117784511865
11,JUNE_avg_video_dispalys,0.0014377919051286206
12,SEPT_avg_video_duration,0.001355178856588658
13,OCT_avg_video_dispalys,0.0012161366808585079
14,fs_pct_0.024_0.0245,0.0011157926630202147
15,jun_avg_timeout_sessions,0.0010400650981453434
16,OCT_avg_video_duration,0.0009050356865326437
17,model_P-WAL-107-ELC-03,0.0007446913713535382
18,state_Texas,0.0007026476386768514
19,JUL_avg_video_dispalys,0.0006712701837282797
20,manufacturer_ELC,0.0004751896595472642
21,Stomach,0.0003403813725703236
22,JUNE_avg_video_duration,0.00033849607788797193
23,ranking_9.0,0.00019493412190216017
24,Back Pain,0.0001741990964128541
25,avg_campaigns,0.00011003809008167746
26,fs_pct_0.0239_0.024,0.00010944905516659937
27,oct_avg_timeout_sessions,4.5539456418710435e-05
28,fs_pct_0.0661_0.0672,4.355141022610219e-05
29,SEPT_avg_video_dispalys,2.849584329158941e-05
30,sept_avg_timeout_sessions,2.108229056532107e-05
31,model_P-WAL-106-ELC-01,0.0
32,model_UIT232B-W01,0.0
33,sku_P-WAL-106-ELC-01,0.0
34,sku_P-WAL-107-ELC-03,0.0
35,state_Florida,0.0
36,facility_type_Private Group,0.0
37,facility_type_Private Practice,0.0
38,ranking_5.0,0.0
39,ranking_6.0,0.0
40,ranking_7.0,0.0
41,ranking_8.0,0.0
42,ranking_10.0,0.0
43,specialty_Cardiovascular Disease,0.0
44,specialty_PCP,0.0
45,fs_pct_0.0196_0.0239,0.0
46,fs_pct_0.0245_0.0249,0.0
47,fs_pct_0.0249_0.0257,0.0
48,fs_pct_0.0257_0.0261,0.0
49,fs_pct_0.0613_0.0661,0.0
50,AUG_avg_video_dispalys,0.0
51,NOV_avg_video_dispaly,0.0
52,jun_avg_Crash_sessions,0.0
53,jun_avg_exit_sessions,0.0
54,jul_avg_timeout_sessions,0.0
55,jul_avg_Crash_sessions,0.0
56,jul_avg_exit_sessions,0.0
57,aug_avg_timeout_sessions,0.0
58,aug_avg_Crash_sessions,0.0
59,aug_avg_exit_sessions,0.0
60,sept_avg_Crash_sessions,0.0
61,sept_avg_exit_sessions,0.0
62,oct_avg_Crash_sessions,0.0
63,oct_avg_exit_sessions,0.0
64,nov_avg_timeout_sessions,0.0
65,nov_avg_Crash_sessions,0.0
66,nov_avg_exit_sessions,0.0
67,ABCDE Moles,0.0
68,ADHD,0.0
69,ALS,0.0
70,Abdomen,0.0
71,Acid Reflux,0.0
72,Acne,0.0
73,Acne Detailed,0.0
74,Acute Bronchitis,0.0
