,feature,importance
0,clinic_had_mia,10.183497546308933
1,software_version_4.9.16,6.682658358572438
2,software_version_4.7.7,6.04207512731922
3,software_version_4.10.2,5.170139414185103
4,manufacturer_OUTFORM,4.693729699601555
5,software_version_4.9.17,4.116716252915683
6,model_UIT232B-W01,4.073262814018822
7,sku_P-WAL-105-OUT-01,4.073262814018822
8,fs_pct_0.0261_0.0613,4.060326051125958
9,manufacturer_YITOA,2.603732469796726
10,NOV_avg_video_dispaly,1.547263385088595
11,OCT_avg_video_dispalys,1.2501882375895437
12,model_P-WAL-107-ELC-03,1.2121214729382763
13,sku_P-WAL-107-ELC-03,1.2121214729382763
14,fs_pct_0.0249_0.0257,1.1576826331079142
15,ranking_9.0,1.1141695699587784
16,fs_pct_0.0613_0.0661,1.1136771068916596
17,avg_days,0.911996223863609
18,fs_pct_0.024_0.0245,0.8550377736001813
19,manufacturer_ELC,0.6667566140777207
20,ranking_5.0,0.6577663747176954
21,ranking_8.0,0.6364860735055087
22,fs_pct_0.0661_0.0672,0.5770968710538971
23,jun_avg_timeout_sessions,0.5417089896445036
24,facility_type_Private Practice,0.5052055007454647
25,nov_avg_timeout_sessions,0.3910120770719186
26,AUG_avg_video_dispalys,0.3828620975568947
27,Osteoporosis,0.3593865200664492
28,Sebaceous Cyst,0.34214786412197656
29,fs_pct_0.0239_0.024,0.3326670894698469
30,Hodgkin's Lymphoma,0.33037677548458855
31,Colonoscopy,0.3240046021289202
32,ranking_7.0,0.32349140477730814
33,fs_pct_0.0245_0.0249,0.3234655652552884
34,Myeloma,0.31877442297009895
35,Heart Attack,0.3176974485264851
36,Thorax,0.3117158787815458
37,aug_avg_timeout_sessions,0.31086587351145023
38,Pertussis,0.28669504508190724
39,Lung,0.28605621911960033
40,avg_times,0.2847899772134785
41,Diabetic Nerve Problem,0.27692231477954493
42,Cushing's Syndrome,0.2717647496647531
43,Stomach Cross Section,0.27033248227323503
44,Type 2 Diabetes - Glucose Absorption,0.2676289053938294
45,Leukemia,0.2660301364893794
46,model_P-WAL-106-ELC-01,0.2632367420711714
47,sku_P-WAL-106-ELC-01,0.2632367420711714
48,Hemorrhoids,0.2612154487807401
49,Mole Mapping,0.25131085844895584
50,Kidney Stone,0.24999793608635662
51,Esophagus,0.24552473839279015
52,Eye,0.24504251469856028
53,oct_avg_timeout_sessions,0.23849492728964858
54,specialty_PCP,0.23328479524228124
55,ranking_10.0,0.2312959516063807
56,Head,0.23047143866886743
57,Cervix Anatomy,0.22904609495362624
58,aug_avg_exit_sessions,0.22860250923663183
59,Multiple Sclerosis,0.22833406732742376
60,Umbilical Ventral Hernia,0.2277106138028848
61,C-Section,0.22305190500306005
62,Prostate Cancer,0.22025949175933038
63,Liver Cirrhosis,0.21533051626104316
64,Anal Fissure,0.2140078734803741
