,feature,importance
0,software_version_4.9.16,0.1568239267795535
1,software_version_4.7.7,0.13947865081092434
2,software_version_4.9.17,0.10371235065948671
3,software_version_4.10.2,0.10236563479685035
4,clinic_had_mia,0.048242723191431774
5,manufacturer_ELC,0.04302523769152407
6,avg_days,0.03986436434020882
7,sku_P-WAL-105-OUT-01,0.02890679270858912
8,model_UIT232B-W01,0.027020309840067206
9,manufacturer_OUTFORM,0.0259940169825032
10,NOV_avg_video_dispaly,0.025225345381131897
11,OCT_avg_video_dispalys,0.022494742876170374
12,SEPT_avg_video_duration,0.010629912058269119
13,oct_avg_timeout_sessions,0.009986692254637913
14,model_P-WAL-107-ELC-03,0.00996088255053141
15,nov_avg_timeout_sessions,0.00958931712937712
16,SEPT_avg_video_dispalys,0.009504201756435699
17,AUG_avg_video_dispalys,0.00890723953624821
18,avg_times,0.008779622137560342
19,avg_campaigns,0.008560924426131865
20,fs_pct_0.0261_0.0613,0.008449700116582068
21,JUL_avg_video_dispalys,0.008207979142072998
22,sku_P-WAL-107-ELC-03,0.007665265386642159
23,manufacturer_YITOA,0.006965919499141697
24,OCT_avg_video_duration,0.006497543849378789
25,sept_avg_timeout_sessions,0.006265858968978305
26,fs_pct_0.024_0.0245,0.005615150624067753
27,fs_pct_0.0249_0.0257,0.005341363052779584
28,aug_avg_timeout_sessions,0.005169049655009458
29,fs_pct_0.0661_0.0672,0.0048418301701782605
30,JUNE_avg_video_dispalys,0.004353699473112302
31,JUNE_avg_video_duration,0.003917116518346661
32,jul_avg_timeout_sessions,0.0037460800037993594
33,fs_pct_0.0257_0.0261,0.003623560178786435
34,jun_avg_timeout_sessions,0.0032423743193613435
35,sku_P-WAL-106-ELC-01,0.0030765594754094128
36,model_P-WAL-106-ELC-01,0.0024734285441283506
37,fs_pct_0.0239_0.024,0.0023837083107760733
38,fs_pct_0.0196_0.0239,0.0019150725555501786
39,fs_pct_0.0245_0.0249,0.0017269228955181322
40,fs_pct_0.0613_0.0661,0.001675429546432394
41,Heart,0.001587602659324324
42,Spine,0.0015734510242837007
43,specialty_PCP,0.0013065754400371306
44,facility_type_Private Practice,0.001207036348730033
45,Neck,0.0011405681535387353
46,specialty_Cardiovascular Disease,0.0010453419264606339
47,Pelvis,0.0010140935267674042
48,Pancreatic Bile Duct,0.0009984504902054551
49,Abdomen,0.0009760851313586544
50,Head,0.0008365675027500611
51,ranking_9.0,0.0008227286742485746
52,Diabetic Nerve Problem,0.0008221342270650315
53,Stomach,0.0008084048273117893
54,Pancreas Anatomy,0.0008032632534987015
55,Thorax,0.0007932049701998518
56,ranking_8.0,0.0007920394480960543
57,Back Pain,0.000785781840245685
58,ranking_10.0,0.0007803627322581203
59,facility_type_Private Group,0.0007608927516842995
60,state_Florida,0.0007401147715272675
61,ranking_7.0,0.0007270738826280586
62,Diabetic Foot Complications,0.0007081358190859774
63,ranking_6.0,0.000690818416664806
64,state_Texas,0.0006339455617696043
65,Thyroid Nodules,0.0006180353298647098
66,Teeth,0.0006155350311025174
67,Shoulder,0.0005967395230026423
68,ranking_5.0,0.0005761155640921154
69,Insulin and Glucose,0.0005558466461861054
70,Prostate Anatomy Tour,0.0005548653500063081
71,Lung,0.0005511205393878795
72,nov_avg_exit_sessions,0.0005482917908559969
73,oct_avg_exit_sessions,0.0005444561914526717
74,aug_avg_exit_sessions,0.0005353161504597811
75,Osteoarthritis,0.0005279876953304903
76,Brain,0.0005220895821266201
77,Uterus,0.0005207537929550008
78,Osteoporosis,0.0005204517185912357
79,sept_avg_exit_sessions,0.0005099437756186404
80,jul_avg_exit_sessions,0.0005055889798461879
81,Diabetic Retinopathy,0.0005048004906082781
82,Leg,0.0004983556478331141
83,Colon Polyps,0.000492710208064856
84,GERD,0.0004902548371304805
85,Asthma Inhaler,0.00048295415801312614
86,Systems,0.000463565704732403
87,jun_avg_exit_sessions,0.00046185515020907484
88,Large Intestine Cross Section,0.0004553720550475363
89,Esophagus,0.00044977246084589365
90,Artery Blockage,0.00044160010390379713
91,Vasculature,0.0004377365252932031
92,Knee,0.0004282415189237538
93,Rheumatoid Arthritis,0.00040067935520375874
94,Irritable Bowel Syndrome,0.00038465545392972814
95,Endoscopy,0.0003827134404513207
96,Colonoscopy,0.00037712014711326297
97,Cardiac Catheterization,0.0003700809267181614
98,Arm,0.0003692520841732518
99,Liver,0.00036863137122659066
100,Adam Insulin ,0.0003621648734090921
101,Hand,0.0003595305692983766
102,Urinary System,0.0003511778246702681
103,Atrial Fibrillation with Conduction System,0.00034786954908174275
104,Pregnancy,0.00033568770828101575
105,Varicose Veins,0.0003276612070313707
106,Foot,0.0003262888485817249
107,Gallbladder Anatomy,0.00031606415322764305
108,Gout,0.0003139620234799931
109,IUD Placement,0.00031333148821526295
110,Low Testosterone,0.0003093353720317091
111,Mole Mapping,0.0003076942550925231
112,Barrett's Esophagus,0.00030485567471713295
113,Ear,0.0002951603280624672
114,Hiatal Hernia,0.0002856359764323576
115,Eye,0.0002776154617668585
116,Ankylosing Spondylitis,0.00027618643772915315
117,Colon Cancer,0.00027526554370608153
118,Diverticulosis,0.0002730846277095229
119,Hypoglycemia,0.00026340824522099403
120,Mohs Surgery,0.00026132901001607996
121,Skin,0.0002578697740046094
122,Torn Rotator Cuff,0.00025754563429877055
123,Kidney Stones,0.0002459975827886972
124,Vaginal Birth,0.0002361696441270589
125,Pancreatic Cancer,0.00023410057491034562
126,Stomach Cross Section,0.00023018592442396502
127,Wagner Classification,0.00022782241987203468
128,Kidney,0.000217251569071115
129,Heart Failure,0.00021662052433757368
130,Hypoparathyroidism,0.00021478890558676193
131,Sinus,0.0002114263467277504
132,Prostate Brachytherapy,0.0002071090812859944
133,Wrist,0.0002040508165162766
134,Strep Throat,0.0001966791579938405
135,ADHD,0.00019482267716265712
136,Diverticulitis,0.00019275976627663056
137,ABCDE Moles,0.0001881655031309312
138,Gallstone Pancreatitis,0.00018624029450013118
139,Crohn's Disease,0.00018492299700381584
140,Acne,0.0001804215098513062
141,Aortic Valve Stenosis,0.00017068764511367856
142,Chemotherapy IV,0.0001699242094477664
143,Carpal Tunnel Syndrome,0.00016628543716125984
144,Angina,0.00016542330853940148
145,Reproductive System,0.0001639788723728947
146,Basal Cell Carcinoma,0.00016020831012821926
147,Ulcerative Colitis,0.00015863505807229848
148,Thyroid Cancer,0.0001578536663695568
149,Colon,0.0001566142749957169
150,Lymphatic System,0.0001538441328071161
151,Type 2 Diabetes - Glucose Absorption,0.00015316084764272918
152,Acid Reflux,0.0001521324312701159
153,External Beam Radiation,0.0001498911634551156
154,Endometriosis,0.00014841653296898612
155,Shingles,0.00014619269606880325
156,High Blood Pressure,0.00014547359899284135
157,Psoriatic Arthritis,0.00014341505117099678
158,Hemorrhoids,0.00014155785421179163
159,Enlarged Parathyroid Gland,0.0001394289746574426
160,Cervix Anatomy,0.0001368724409651148
161,Blood Clot in Vein,0.0001345570875240755
162,Mammography,0.00013454678807258916
163,Atherosclerosis,0.00013431170851580844
164,Reproductive,0.00013400066731241057
