,feature,importance
0,clinic_had_mia,0.08245774530792371
1,manufacturer_ELC,0.0801924765327135
2,avg_days,0.07549320405223876
3,NOV_avg_video_dispaly,0.06265308669657248
4,OCT_avg_video_dispalys,0.05163721130782427
5,sku_P-WAL-105-OUT-01,0.04660993504589064
6,manufacturer_OUTFORM,0.042622579910661706
7,model_UIT232B-W01,0.03592787603408001
8,SEPT_avg_video_dispalys,0.02551625472014717
9,SEPT_avg_video_duration,0.025125054732388467
10,nov_avg_timeout_sessions,0.02367309057709821
11,model_P-WAL-107-ELC-03,0.02198865569362783
12,AUG_avg_video_dispalys,0.0208259083896816
13,JUL_avg_video_dispalys,0.020122939335538284
14,oct_avg_timeout_sessions,0.019502792602018402
15,avg_campaigns,0.018258334323634613
16,avg_times,0.018021702186795264
17,OCT_avg_video_duration,0.01726926417917824
18,manufacturer_YITOA,0.0147649749924215
19,fs_pct_0.0261_0.0613,0.01344396591854786
20,sept_avg_timeout_sessions,0.01337635750974562
21,fs_pct_0.0249_0.0257,0.013152859574796335
22,fs_pct_0.0661_0.0672,0.012463004055183465
23,fs_pct_0.024_0.0245,0.010750224168923172
24,JUNE_avg_video_duration,0.010043409755441702
25,JUNE_avg_video_dispalys,0.009874003169452613
26,aug_avg_timeout_sessions,0.009870311292369576
27,fs_pct_0.0239_0.024,0.008905906192726309
28,model_P-WAL-106-ELC-01,0.008862465010719233
29,fs_pct_0.0257_0.0261,0.008634014293835979
30,jul_avg_timeout_sessions,0.007483958193535446
31,jun_avg_timeout_sessions,0.006793321029885604
32,fs_pct_0.0245_0.0249,0.005677842485133025
33,fs_pct_0.0196_0.0239,0.005287457576626196
34,fs_pct_0.0613_0.0661,0.0045901135078874385
35,Heart,0.003738227277884599
36,Spine,0.003343340807553773
37,Neck,0.003130898661574054
38,specialty_PCP,0.0027367811030127418
39,facility_type_Private Group,0.0026036385370721616
40,facility_type_Private Practice,0.002597434311830358
41,Pancreatic Bile Duct,0.002260414111818262
42,specialty_Cardiovascular Disease,0.0022488202488131982
43,Abdomen,0.0022370921696593456
44,ranking_10.0,0.0020134837762736256
45,Pelvis,0.001996549022216847
46,ranking_8.0,0.0019596810320924116
47,ranking_6.0,0.0019460092800040925
48,ranking_9.0,0.0019298019155449284
49,Diabetic Foot Complications,0.0019213999321475266
50,Thorax,0.00185696602433954
51,state_Florida,0.0018537723766381712
52,Back Pain,0.001846388230123808
53,state_Texas,0.0017858232957856468
54,Diabetic Nerve Problem,0.0017762004550532322
55,Pancreas Anatomy,0.001771384202618937
56,oct_avg_exit_sessions,0.001592384705973322
57,Head,0.0015859264061023873
58,ranking_7.0,0.0015393249134525305
59,Stomach,0.0015237607450768525
60,Insulin and Glucose,0.0015098389990677794
61,Thyroid Nodules,0.0014873721931938939
62,aug_avg_exit_sessions,0.0014667859491180617
63,sept_avg_exit_sessions,0.0014132252563448136
64,Lung,0.0013562894852776207
65,Shoulder,0.0013527361991435664
66,Artery Blockage,0.0013367056450316612
67,Teeth,0.0013279165648008545
68,nov_avg_exit_sessions,0.0013219570059151394
69,Asthma Inhaler,0.0013087928215764332
70,jun_avg_exit_sessions,0.0013029137095776893
71,ranking_5.0,0.001281408409859792
72,Vasculature,0.001248609258042384
73,Osteoarthritis,0.0012356269733254119
74,Colon Polyps,0.001220053638289562
75,jul_avg_exit_sessions,0.0012133838307443034
76,Diabetic Retinopathy,0.0012086196164030273
77,Brain,0.0011969242505094917
78,Endoscopy,0.001196260388801818
79,Osteoporosis,0.001174783851906162
80,Large Intestine Cross Section,0.0011162682340926822
81,Leg,0.0010925509677186228
82,Adam Insulin ,0.0010797136791385567
83,Knee,0.0010707334500512575
