asset_id,name
W01Y113650,Opdivo Adjunctive Melanoma 2020 - WB-S 201214 Creative Swap
W01E133345,Opdivo NSCLC 2020 - WB-S 201007 Frequency Increase
W01E133343,Opdivo NSCLC 2020 - WB-S 201007 Campaign Launch
W01E133343,Opdivo NSCLC 2020 - WB-S 201221 Frequency Increase
W46957,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01Y113650,Opdivo Metastatic Melanoma 2020 - WB-S 201020 Creative Swap
W01E133343,IMBRUVICA CLL 2H 2020 - WB-S - 201119 - Creative Swap
W01Y107212,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W01E102487,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W01E133345,Keytruda 2020 - RCC - WB-S 200706
W01E133342,Opdivo NSCLC 2020 - WB-S 201007 Campaign Launch
W01Y113650,Opdivo Adjunctive Melanoma 2020 - WB-S 200921 Creative Swap
W01Y113650,Opdivo Adjunctive Melanoma 2020 - WB-S 201020 Creative Swap
W01E133342,Tecentriq SCLC 2020 - Master - WB-S 200330 Creative Swap
W01E133343,Tecentriq SCLC 2020 - Master - WB-S 200330 Creative Swap
W01E133345,Keytruda 2020 - RCC - WB-S 200302 - Launch
W01Y113650,Keytruda_2020_RCC_201101_WB_S_Creative_Swap
W01E127616,Opdivo NSCLC 2020 - WB-S 201007 Campaign Launch
W01E127616,Opdivo NSCLC 2020 - WB-S 201214 Creative Swap
W01E133343,Tecentriq  Avastin 2020 HCC - Master - WB-S 201119 Creative Swap
W01E133342,Opdivo NSCLC 2020 - WB-S 201214 Creative Swap
W01Y113650,Opdivo Metastatic Melanoma 2020 - WB-S 201217 Creative Swap
W01E127616,Tecentriq  Avastin 2020 HCC - Master - WB-S 201119 Creative Swap
W01E127616,Tecentriq SCLC 2020 - Master - WB-S 200330 Creative Swap
W01E101304,CVS 2020 - Master - WB-S Abbrev List Better MDP 200317 Creative Swap
W01Y105300,Repatha_2020_Master_WB_S_200401_Launch
W01E114930,Epclusa 2020 - Addendum INI - WB-S - 201001 - Creative Swap
W01E134196,Shingrix 2020 Master - 200815 - WB-S - Launch
W01E112303,CVS 2020 - Master - WB-S Abbrev List Delivery 200414 Creative Swap
W37857,Erleada 2020 ERT Brochure WB  - Addendum - WB-S - 201005 - Launch
W37857,Erleada 2020 ERT Brochure WB - Addendum - WB-S - 201106 - Creative Swap
W01E133342,Tecentriq  Avastin 2020 HCC - Master - WB-S 201119 Creative Swap
W01Y102608,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W06315,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W25725,Austedo 2020 - Master - Targeting Change - 201102 - WB-S - Launch
W05346,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W05346,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W01E114360,Xywav 2020 - Master - 210104 - WB-S - Creative Swap
W06315,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W01Y105300,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W36192,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W31137,Erleada 2020 ERT Brochure WB - Addendum - WB-S - 201106 - Creative Swap
W43804,Phesgo Q4 2020 - Master - WB-S Q4 Incremental New Contract 201104 Launch
W38427,Nucala Q4 2020 Revival - Master - 201001 - WB-S - Launch
W43804,IMBRUVICA CLL 2H 2020 - WB-S - 200812 - ISI Swap
W46187,Bexsero 2020 - Master - 2007015 - WB-S - Launch
W01E116907,Tremfya 2020 - WB-S 200622 Launch
W36227,Unity4TeenVax_2020_2H_WB_200720_Launch
W01941,CVS 2020 - Master - WB-S Peds Better MDP 200102 Launch
W43235,CVS 2020 - Master - WB-S Abbrev List Better MDP 200414 Creative Swap
W43235,CVS 2020 - Master - WB-S Abbrev List BetterMDP 201026 Creative Swap
W01E102830,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W36185,Unity4TeenVax_2020_2H_WB_200720_Launch
W31137,Erleada 2020 ERT Brochure WB  - Addendum - WB-S - 201005 - Launch
W01E101308,Nucala Q4 2020 Revival - Master - Patient Companion - 201021 - WB-S - Launch
W25805,Tecentriq SCLC 2020 - Master - WB-S 200330 Creative Swap
W01E116907,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E101308,Mavenclad 2020 - WB-S 200427 Launch
W01E101297,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E133467,Epclusa 2020 - Addendum INI - WB-S - 200801 - Creative Swap
W28704,Unity4TeenVax_2020_2H_WB_200720_Launch
W01941,CVS 2020 - Master - WB-S Peds BetterMDP 200921 Creative Swap
W14559,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W25876,Mavenclad 2020 - WB-S 200401 Launch
W35095,Edwards Lifescience 2020 - Master - 200724 - WB-S - Creative Swap URL Update
W39815,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W35085,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W35178,Edwards Lifescience March - October 2020 - 200727 - WB-S - URL swap
W01E111144,Shingrix 2020 Master - 200815 - WB-S - Launch
W01E104527,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E100256,Dupixent Asthma 2H 20 - WB-S - 201001 - Launch
W01E107204,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W35145,Edwards Lifescience March - October 2020 - 200507 - WB-S - Increased Frequency
W01E126219,Soliqua 2020 - WB-S - Non Writers Target - 201020 - Creative Swap
W01E108895,CVS 2020 - Master - WB-S Abbrev List Better MDP 200414 Creative Swap
W14559,Repatha_2020_Master_WB_S_200401_Launch
W01E110290,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E107203,Unity4TeenVax_2020_2H_WB_200720_Launch
W01E110090,Repatha_2020_Master_WB_200601_Launch
W01E110290,Shingrix 2020 Master - 200815 - WB-S - Launch
W43773,Tremfya 2020 - WB-S 200622 Launch
W15734,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W05947,Repatha_2020_Master_WB_200601_Launch
W01E111755,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W11330,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200810 Creative Swap
W27197,Unity4TeenVax_2020_2H_WB_200720_Launch
W25474,Unity4TeenVax_2020_2H_WB_200720_Launch
W14557,Repatha_2020_Master_WB_200601_Launch
W08736,Repatha_2020_Master_WB_S_200401_Launch
W13498,CVS 2020 - Master - WB-S Abbrev List Delivery 200810 Creative Swap
W01E104124,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E108895,P_G - Align Probiotics - POC Test - WB-S - 200901 - Launch
W01E100949,Ajovy 2020 - 200701 - WB-S - Launch
W43804,Keytruda 2020 - RCC - WB-S 200706
W01E105761,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W28584,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W09863,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E104230,Xywav 2020 - Master - 210104 - WB-S - Creative Swap
W25410,Dexcom CGM 2020 - Master -200720 - WB-S - Launch
W01E102540,Xywav 2020 - Master - 201001 - WB-S - Launch
W01E106356,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W27177,Edwards Lifescience 2020 - Master - 200724 - WB-S - Creative Swap URL Update
W02599,CVS 2020 - Master - WB-S Zip Specific BetterMDP 200810 Creative Swap
W01E104524,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W01E104524,Trelegy COPD - 2020 Master - 201008 - WB-S - Creative Swap
W08736,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W39850,Edwards Lifescience March - October 2020 - 200727 - WB-S - Increased Frequency- URL swap
W01E101481,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W01E111566,Unity4TeenVax 2020 2H - WB Creative 2 200720 Launch
W35064,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E106356,Xywav 2020 - Master - 201101 - WB-S - Creative Swap
W11728,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W02707,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W43227,Breakaway Educational Games 2020-2021 - WB-S 201008 Launch
W01E111144,Unity4TeenVax_2020_2H_WB_200720_Launch
W08551,CVS 2020 - Master - WB-S Zip Specific Delivery 200810 Creative Swap
W11728,Ozempic 2020 Q3 Agency Change CMI - Master - PCP - WB-S 200803 Launch
W01Y114042,Xeomin - 2020 2021 DTC - 201001 - WB-S - Launch
W01E116881,Keytruda 2020 - RCC - WB-S 200706
W02599,CVS 2020 - Master - WB-S Abbrev List BetterMDP 200921 Creative Swap
W13724,Trelegy COPD - 2020 Master - WB-S 200102 - Launch
W26953,CVS 2020 - Master - WB-S Zip Specific  Delivery 200414 Creative Swap
W05947,Unity4TeenVax_2020_2H_WB_200720_Launch
