assetid,anatomy_model,avg_touches
W24171,Artery Blockage,3.4782608695652173
W01E132666,Neck,1.5
W01Y100598,Insulin and Glucose,5.0
W13264,Diabetic Retinopathy,2.0
W01E119242,Scoliosis,1.0
W01E134044,Urinary System,1.75
W01E107851,HIV/AIDS,1.1666666666666667
W01E119656,Barrett's Esophagus,1.0
W01842,Asthma Inhaler,2.0
W01E123923,Gallstone Pancreatitis,1.5
W01E120491,Foot,1.3333333333333333
W26270,Heart,3.276595744680851
W01E104174,Wrist,2.0
W01E120163,Diabetic Nerve Problem,6.0
W05941,Neck,1.3333333333333333
W08066,Pelvis,1.0
W24244,Back Pain,1.0
W46838,Artery Blockage,1.380952380952381
W01E105115,Thorax,1.6666666666666667
W10244,Bladder Cancer,1.0
W24815,Basal Cell Carcinoma,1.0
W01Y112391,Hyperparathyroidism,2.0
W01E123793,Hypoglycemia,1.0
W01Y101021,Hiatal Hernia,1.5
W01E134250,Asthma Inhaler,1.75
W01E125723,Acne,1.0
W01E121341,Astigmatism,1.0
W01Y101510,Shoulder,2.0
W01E129262,Pancreas Anatomy,1.0
W01E111343,Urinary System,1.0
W01842,Gout,1.0
W01Y101366,Prostate Anatomy Tour,1.0
W04961,GERD,1.263157894736842
W01E112084,Spine,3.0
W01E120771,Cervix Anatomy,1.0
W27242,Coronary Artery Disease,2.0
W01Y100375,Hand,1.6666666666666667
W24171,Heart,4.151515151515151
W15583,Artery Blockage,2.0
W01E118399,Endoscopy,1.4
W01E108930,Asthma Inhaler,2.5
W01E112992,Chemotherapy IV,1.0
W43673,Osteoarthritis,1.0
W46838,Heart,1.4615384615384615
W01E125454,Uterus,5.0
W01E120564,Head,1.0476190476190477
W01Y100746,Thyroid Cancer,1.0
W01E134349,Pancreatic Bile Duct,1.0
W01E100972,Inner Ear Infection,1.53125
W01E116714,Heart,2.923076923076923
W01E126736,Barrett's Esophagus,1.5
W01E107360,Prostate Brachytherapy,1.0
W06339,Lymph Nodes around Uterus,1.0
W24131,Colon Polyps,2.75
W24892,Back Pain,1.3333333333333333
W01E106195,HPV,1.0
W01Y102421,Insulin and Glucose,1.0
W28273,Type 2 Diabetes - Glucose Absorption,1.0
W13262,Artery Blockage,1.3333333333333333
W02479,Neck,1.5
W25782,Ankylosing Spondylitis,2.0
W01E126736,Diabetic Nerve Problem,1.0
W15944,Spine,1.0
W01E120485,Blister,1.0
W01Y109182,Basal Cell Carcinoma (Gross),1.0
W01E118270,Prostate Anatomy Tour,1.0
W25799,ALS,1.3
W35155,Urinary System,2.8333333333333335
W06474,Elbow,1.0
W01E101041,Stomach,1.0
W01E132303,Endoscopy,1.0
W01Y100167,Foot,2.25
W01Y104103,Pancreatic Bile Duct,2.0
W15631,Atrial Fibrillation with Conduction System,1.6666666666666667
W01E122705,Pancreas Anatomy,2.0
W27177,Prostate Anatomy Tour,2.6666666666666665
W31559,Diverticulosis,1.8125
W43227,Pancreas Anatomy,1.3333333333333333
W01E110703,Heart,2.185185185185185
W01E128779,Vasculature,1.4
W01E102466,Stomach,1.0
W01E102686,Appendicitis,1.0
W01E100581,Shingles,2.0
W04000,Dry Eye,1.3333333333333333
W28587,Neck,2.0
W01E106197,Heart,1.8333333333333333
W01E127508,Gout,1.3333333333333333
W01E127969,Epilepsy,2.4
W01Y111662,Osteoporosis,1.0
W01Y104339,Hyperparathyroidism,1.0
W01Y105431,Strep Throat,1.0
W01E105545,Heart,1.25
W43587,Psoriasis,1.0
W01E117328,Large Intestine Cross Section,1.0
W13728,Diabetic Foot Complications,1.0
W14570,Spine,1.4166666666666667
W01E119734,Barrett's Esophagus,2.0714285714285716
