asset_id,jun_avg_timeout_sessions,jun_avg_Crash_sessions,jun_avg_exit_sessions,jul_avg_timeout_sessions,jul_avg_Crash_sessions,jul_avg_exit_sessions,aug_avg_timeout_sessions,aug_avg_Crash_sessions,aug_avg_exit_sessions,sept_avg_timeout_sessions,sept_avg_Crash_sessions,sept_avg_exit_sessions,oct_avg_timeout_sessions,oct_avg_Crash_sessions,oct_avg_exit_sessions,nov_avg_timeout_sessions,nov_avg_Crash_sessions,nov_avg_exit_sessions
W37627,,,,,,,,,,,,,1.9285714285714286,,,,,
W01E112183,,,,,,,,,,,,,1.25,,,,,
W01E112088,,,,1.6666666666666667,,,,,,,,,,,,,,
W01E133147,,,,,,,,,,,,,,,,1.7142857142857142,,
W11230,,,,,,,,,,,,,1.0,,,,,
W14017,1.25,,,,,,,,,,,,,,,,,
W01E110469,,,,,,,2.25,,,,,,,,,,,
W26931,,,,,,,,,,1.0,,,,,,,,
W03073,,,,1.5,,,,,,,,,,,,,,
W14656,,,,1.0,,,,,,,,,,,,,,
W01E125389,,,,1.2857142857142858,,,,,,,,,,,,,,
W02073,,,,,,,,,,,,,1.6666666666666667,,,,,
W01E105679,,,,,,,,,,,,,,,,3.0,,
W14255,,,,,,,,,,,,,2.4285714285714284,,,,,
W01Y101990,,,,,,,1.0,,,,,,,,,,,
W01E100573,,,,,,,,,,,,,,,,2.0588235294117645,,
W01Y107805,,,,,,,,,,,,,,,,2.9565217391304346,,
W27135,,,,,,,,,,,,,,,,1.0,,
W09988,,,,,,,,,,,,,,,,,,1.0
W37858,,,,,,,,,,,,1.0,,,,,,
W01Y103232,2.3333333333333335,,,,,,,,,,,,,,,,,
W01Y104814,2.1666666666666665,,,,,,,,,,,,,,,,,
W01E129842,,,,,,,,,,,,,,,,1.5,,
W01E125795,,,,,,,,,,,,,,,,1.3333333333333333,,
W01E132632,,,,,,,1.4545454545454546,,,,,,,,,,,
W01E128746,,,,,,,,,,,,,2.7857142857142856,,,,,
W25818,,,,,,,,,,1.0,,,,,,,,
W01E118285,,,,,,,,,,,,,1.375,,,,,
W05092,,,,,,,,,,,,,,,,1.0,,
W01E115073,,,,,,,1.2,,,,,,,,,,,
W01Y104822,,,,,,,,,,,,,,,,1.0,,
W10631,,,,,,,,,,,,,1.3333333333333333,,,,,
W46926,,,,,,,,,,,,,1.75,,,,,
W26804,,,,,,,,,,,,,,,,1.5,,
W01Y107430,,,,4.0,,,,,,,,,,,,,,
W09606,,,,,,,2.0,,,,,,,,,,,
W10809,,,,,,,1.0,,,,,,,,,,,
W01E108142,,,,1.375,,,,,,,,,,,,,,
W01E104148,,,,,,,,,,2.5,,,,,,,,
W15800,,,,,,,,,,1.8888888888888888,,,,,,,,
W07389,,,,,,,,,,,,,,,,1.0,,
W01E119802,,,,,,,3.4444444444444446,,,,,,,,,,,
W19311,,,,1.6666666666666667,,,,,,,,,,,,,,
W01E103517,,,,,,,,,,1.625,,,,,,,,
W01E128268,,,,,,,,,,,,,1.25,,,,,
W01Y105722,,,,,,,,,,1.7142857142857142,,,,,,,,
W01Y110946,,,,,,,,,,,,,,,,1.5,,
W01E114805,,,,,,,,,,1.2222222222222223,,,,,,,,
W01Y103397,1.2,,,,,,,,,,,,,,,,,
W01E103364,,,,,,,,,,1.0,,,,,,,,
W01Y102841,,,,,,,,,,,,,1.0,,,,,
W46630,,,,,,,,,,,,,1.0,,,,,
W01E102148,,,,,,,,,,,,,,,,1.0,,
W01Y112055,,,,,,,,,,,,,,,,1.8181818181818181,,
W01E128717,,,,,,,,,,,,,1.0,,,,,
W01E133193,,,,,,,,,,,,,,,,1.3333333333333333,,
W01Y106070,,,,,,,,,,,,,1.3333333333333333,,,,,
W01E128895,,,,,,,,,,,,,,,,1.3333333333333333,,
W01E128699,,,,3.5,,,,,,,,,,,,,,
W05947,1.0,,,,,,,,,,,,,,,,,
W01Y101965,,,,,,,1.25,,,,,,,,,,,
W01E104124,,,,,,,1.2,,,,,,,,,,,
W01E109595,1.0,,,,,,,,,,,,,,,,,
W01Y103946,,,,,,,,,,,,,,,,1.5,,
W01E120236,,,,,,,,,,,,,,,1.0,,,
W01Y104986,1.7142857142857142,,,,,,,,,,,,,,,,,
W01E120480,,,,,,,,,,,,,,,,1.0,,
W01Y102028,,,,,,,,,,,,,,,,1.0,,
W35835,,,,,,,,,,,,,,,,1.0,,
W01E118930,,,,,,,,,1.0,,,,,,,,,
W01E128623,,,,,,,,,,1.25,,,,,,,,
W01E111659,,,,1.0,,,,,,,,,,,,,,
W43461,,,,,,,,,,,,,,,,1.4,,
W01E128241,,,,,,,,,,,,,,,,1.5714285714285714,,
W15052,,,,,,,1.1666666666666667,,,,,,,,,,,
W24199,,,,1.375,,,,,,,,,,,,,,
W01E100581,,,,1.6923076923076923,,,,,,,,,,,,,,
W01E106696,,,,,,,1.6,,,,,,,,,,,
W01E120156,,,,1.6363636363636365,,,,,,,,,,,,,,
W01E119242,,,,,,,1.4,,,,,,,,,,,
W06191,,,,,,,,,,1.2,,,,,,,,
W10671,,,,1.0,,,,,,,,,,,,,,
W01E110510,,,,,,,,,,,,,,,,,,1.0
W15800,,,,,,,2.5,,,,,,,,,,,
W01E119712,,,,,,,,,,1.25,,,,,,,,
W01Y102077,,,,2.75,,,,,,,,,,,,,,
W01E128812,,,,,,,1.5,,,,,,,,,,,
W03978,,,,,,,,,,,,,,,1.0,,,
W26445,,,,,,,,,,,,,,,,1.5454545454545454,,
W01E119812,,,,,,,1.25,,,,,,,,,,,
W15583,,,,,,,,,,1.3333333333333333,,,,,,,,
