asset_id,jun_avg_timeout_sessions,jun_avg_Crash_sessions,jun_avg_exit_sessions,jul_avg_timeout_sessions,jul_avg_Crash_sessions,jul_avg_exit_sessions,aug_avg_timeout_sessions,aug_avg_Crash_sessions,aug_avg_exit_sessions,sept_avg_timeout_sessions,sept_avg_Crash_sessions,sept_avg_exit_sessions,oct_avg_timeout_sessions,oct_avg_Crash_sessions,oct_avg_exit_sessions,nov_avg_timeout_sessions,nov_avg_Crash_sessions,nov_avg_exit_sessions
W01E134273,,,,1.1428571428571428,,,,,,,,,,,,,,
W01E104159,,,,,,,1.0,,,,,,,,,,,
W01E107291,,,,1.3333333333333333,,,,,,,,,,,,,,
W01E105634,,,,,,,,,,,,,,,,2.0,,
W01E123649,,,,,,,,,,,,,,,,1.6,,
W01E129691,,,,1.4285714285714286,,,,,,,,,,,,,,
W01E111370,,,,,,,,,,,,,,,,3.0,,
W01E113778,,,,,,,,,,,,,,,,1.5,,
W01E105106,,,,,,1.0,,,,,,,,,,,,
W01E103187,,,,1.6666666666666667,,,,,,,,,,,,,,
W01E132808,,,,,,,,,,,,,1.5,,,,,
W01E132674,,,,,,,,,,,,1.0,,,,,,
W01E126609,,,,,,,,,,1.0,,,,,,,,
W01E129808,,,,,,,,,,,,,1.6666666666666667,,,,,
W01Y102727,,,,,,,1.0,,,,,,,,,,,
W01E107593,,,,,,,1.0,,,,,,,,,,,
W01E132392,2.0,,,,,,,,,,,,,,,,,
W01E108695,,,,,,,,,,,,,1.25,,,,,
W01E103203,,,,,,,,,,,,,,,,1.7777777777777777,,
W01Y102919,,,,,,,1.25,,,,,,,,,,,
W01E131900,,,,,,,,,,,,,,,,2.0,,
W01E125767,,,,,,,2.3333333333333335,,,,,,,,,,,
W01E134001,2.0,,,,,,,,,,,,,,,,,
W01E103928,,,,,,,,,,,,,,,1.0,,,
W01E130387,,,,1.0,,,,,,,,,,,,,,
W01E112735,,,,,,,1.25,,,,,,,,,,,
W01E123161,,,,,,,1.8571428571428572,,,,,,,,,,,
W01E101774,,,,1.0,,,,,,,,,,,,,,
W01E115185,,,,,,,4.0,,,,,,,,,,,
W01E100906,,,,4.055555555555555,,,,,,,,,,,,,,
W01E131022,,,,4.0,,,,,,,,,,,,,,
W01Y101166,,,,1.3529411764705883,,,,,,,,,,,,,,
W01E123806,,,,1.6666666666666667,,,,,,,,,,,,,,
W01Y101355,1.8181818181818181,,,,,,,,,,,,,,,,,
W01E133286,,,,,,,2.0,,,,,,,,,,,
W01E108276,1.875,,,,,,,,,,,,,,,,,
W01E131622,1.5,,,,,,,,,,,,,,,,,
W01E105483,1.5384615384615385,,,,,,,,,,,,,,,,,
W01E107201,,,,,,,,,,2.8,,,,,,,,
W01E124789,,,,,,,1.7777777777777777,,,,,,,,,,,
W01E122253,,,,1.0,,,,,,,,,,,,,,
W01E130429,2.4444444444444446,,,,,,,,,,,,,,,,,
W01248,,,,,,,,,,2.0,,,,,,,,
W01E133525,,,,,,,1.2857142857142858,,,,,,,,,,,
W01E131268,,,,,,,,,,1.0,,,,,,,,
W01E132255,1.3333333333333333,,,,,,,,,,,,,,,,,
W01E100634,,,,,,,,,,,,,,,,1.4285714285714286,,
